timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1012;1013;1014;838;1023;0.00;0.00;44330.00;0.00;15.78;582;
1;1018;1019;1018;845;1023;0.00;0.00;nan;nan;20.44;374;
2;1022;1022;1018;849;1023;nan;nan;nan;nan;12.67;372;
3;1022;1023;1022;849;1023;nan;nan;nan;nan;7.78;144;
4;1021;1018;1019;844;1023;nan;nan;nan;nan;6.44;581;
5;1023;1023;1022;845;1023;nan;nan;nan;nan;4.89;74;
6;1023;1019;1023;846;1023;nan;nan;nan;nan;3.33;74;
7;1022;1023;1022;849;1023;nan;nan;nan;nan;4.89;373;
8;1019;1018;1020;844;1023;nan;nan;nan;nan;6.44;353;
9;1019;1019;1017;847;1023;nan;nan;nan;nan;18.89;353;
10;1018;1018;1018;841;1023;nan;nan;nan;nan;20.22;581;
11;1018;1021;1018;844;1023;nan;nan;nan;nan;20.44;351;
12;1018;1020;1018;846;1023;nan;nan;nan;nan;17.78;372;
13;1015;1019;1016;846;1023;nan;nan;nan;nan;12.67;373;
14;1020;1014;1014;844;1023;nan;nan;nan;nan;17.11;352;
15;1021;1018;1016;844;1023;nan;nan;nan;nan;18.89;582;
16;1017;1019;1020;843;1023;nan;nan;nan;nan;11.11;580;
17;1016;1014;1014;844;1023;nan;nan;nan;nan;11.11;373;
18;1020;1018;1018;845;1023;nan;nan;nan;nan;17.33;582;
19;1020;1019;1019;847;1023;nan;nan;nan;nan;15.56;580;
20;1018;1020;1018;845;1023;nan;nan;nan;nan;12.44;353;
21;1021;1018;1018;846;1023;nan;nan;nan;nan;11.11;503;
22;1015;1018;1018;846;1023;nan;nan;nan;nan;11.11;373;
23;1019;1016;1015;846;1023;nan;nan;nan;nan;9.56;371;
24;1014;1015;1018;843;1023;nan;nan;nan;nan;4.89;373;
25;1018;1020;1018;845;1023;nan;nan;nan;nan;9.56;373;
26;1017;1018;1020;844;1023;nan;nan;nan;nan;6.44;581;
27;1021;1020;1019;844;1023;nan;nan;nan;nan;12.67;582;
28;1021;1021;1016;847;1023;nan;nan;nan;nan;17.33;580;
29;1016;1020;1020;844;1023;nan;nan;nan;nan;20.44;577;
30;1018;1021;1021;843;1023;nan;nan;nan;nan;17.33;580;
31;1020;1021;1018;843;1023;nan;nan;nan;nan;17.33;579;
32;1018;1018;1018;841;1023;nan;nan;nan;nan;17.33;581;
33;1016;1020;1020;843;1023;nan;nan;nan;nan;12.67;143;
34;1018;1016;1017;841;1023;nan;nan;nan;nan;6.44;372;
35;1019;1018;1017;846;1023;nan;nan;nan;nan;8.00;372;
36;1016;1019;1018;846;1023;nan;nan;nan;nan;8.00;373;
37;1015;1018;1016;842;1023;nan;nan;nan;nan;9.56;372;
38;1016;1020;1019;845;1023;nan;nan;nan;nan;9.56;372;
39;1018;1018;1020;844;1023;nan;nan;nan;nan;11.11;372;
40;1018;1020;1018;844;1023;nan;nan;nan;nan;9.56;373;
41;1018;1020;1016;844;1023;nan;nan;nan;nan;12.67;373;
42;1021;1014;1015;846;1023;nan;nan;nan;nan;12.67;373;
43;1021;1021;1018;847;1023;nan;nan;nan;nan;15.78;580;
44;1018;1021;1014;844;1023;nan;nan;nan;nan;14.22;371;
45;1015;1018;1019;841;1023;nan;nan;nan;nan;11.11;350;
46;1020;1020;1014;845;1023;nan;nan;nan;nan;15.78;350;
47;1019;1016;1018;841;1023;nan;nan;nan;nan;12.67;370;
48;1021;1020;1017;847;1023;nan;nan;nan;nan;15.78;351;
49;1021;1014;1018;846;1023;0.00;0.00;44330.00;0.00;18.89;581;
50;1021;1016;1018;847;1023;0.00;0.00;44330.00;0.00;15.56;370;
51;1018;1021;1020;847;1023;0.00;0.00;44330.00;0.00;14.22;350;
52;1016;1019;1021;847;1023;0.00;0.00;44330.00;0.00;14.00;581;
53;1018;1021;1021;847;1023;0.00;0.00;44330.00;0.00;17.33;371;
54;1021;1021;1016;847;1023;0.00;0.00;44330.00;0.00;14.22;580;
55;1016;1020;1015;843;1023;0.00;0.00;44330.00;0.00;11.11;373;
56;1019;1023;1021;846;1023;0.00;0.00;44330.00;0.00;11.11;579;
57;1021;1021;1019;847;1023;0.00;0.00;44330.00;0.00;12.67;580;
58;1018;1021;1018;847;1023;0.00;0.00;44330.00;0.00;18.89;581;
59;1020;1021;1018;847;1023;0.00;0.00;44330.00;0.00;17.33;373;
60;1018;1016;1015;846;1023;0.00;0.00;44330.00;0.00;26.22;351;
61;1021;1018;1016;845;1023;0.00;0.00;44330.00;0.00;24.89;352;
62;1020;1019;1023;846;1023;0.00;0.00;44330.00;0.00;20.22;578;
63;1021;1016;1019;847;1023;0.00;0.00;44330.00;0.00;15.78;352;
64;1018;1021;1016;847;1023;0.00;0.00;44330.00;0.00;17.11;352;
65;1021;1021;1021;844;1023;0.00;0.00;44330.00;0.00;26.44;580;
66;1020;1021;1021;846;1023;0.00;0.00;44330.00;0.00;28.44;371;
67;1014;1019;1020;842;1023;0.00;0.00;44330.00;0.00;28.00;351;
68;1021;1020;1016;847;1023;0.00;0.00;44330.00;0.00;27.11;579;
69;1021;1018;1021;847;1023;0.00;0.00;44330.00;0.00;24.44;371;
70;1018;1018;1020;844;1023;0.00;0.00;44330.00;0.00;22.00;372;
71;1018;1022;1019;847;1023;0.00;0.00;44330.00;0.00;12.67;373;
72;1019;1021;1018;843;1023;0.00;0.00;44330.00;0.00;17.33;373;
73;1018;1021;1016;844;1023;0.00;0.00;44330.00;0.00;15.78;581;
74;1019;1018;1018;841;1023;0.00;0.00;44330.00;0.00;12.67;352;
75;1019;1023;1018;846;1023;0.00;0.00;44330.00;0.00;16.44;371;
76;1019;1018;1021;845;1023;0.00;0.00;44330.00;0.00;12.67;580;
77;1019;1019;1018;845;1023;0.00;0.00;44330.00;0.00;15.78;371;
78;1016;1017;1019;843;1023;0.00;0.00;44330.00;0.00;17.33;352;
79;1018;1021;1014;844;1023;0.00;0.00;44330.00;0.00;15.78;372;
80;1018;1021;1014;847;1023;0.00;0.00;44330.00;0.00;11.33;373;
81;1021;1015;1016;847;1023;0.00;0.00;44330.00;0.00;11.11;372;
82;1021;1015;1019;847;1023;0.00;0.00;44330.00;0.00;16.67;579;
83;1018;1018;1021;844;1023;0.00;0.00;44330.00;0.00;14.22;372;
84;1023;1019;1018;848;1023;0.00;0.00;44330.00;0.00;8.00;144;
85;1023;1023;1021;849;1023;0.00;0.00;44330.00;0.00;4.89;143;
86;1019;1017;1018;846;1023;0.00;0.00;44330.00;0.00;4.44;371;
87;1020;1016;1020;846;1023;0.00;0.00;44330.00;0.00;12.67;580;
88;1019;1023;1021;846;1023;0.00;0.00;44330.00;0.00;12.67;353;
89;1021;1023;1021;845;1023;0.00;0.00;44330.00;0.00;17.11;580;
90;1023;1017;1017;845;1023;0.00;0.00;44330.00;0.00;18.89;581;
91;1023;1021;1018;847;1023;0.00;0.00;44330.00;0.00;11.11;540;
92;1021;1021;1019;847;1023;0.00;0.00;44330.00;0.00;9.56;579;
93;1021;1022;1020;844;1023;0.00;0.00;44330.00;0.00;8.00;542;
94;1018;1021;1018;844;1023;0.00;0.00;44330.00;0.00;8.00;502;
95;1021;1019;1023;844;1023;0.00;0.00;44330.00;0.00;12.67;352;
96;1021;1019;1018;844;1023;0.00;0.00;44330.00;0.00;9.56;373;
97;1018;1018;1016;844;1023;0.00;0.00;44330.00;0.00;8.00;372;
98;1019;1018;1018;844;1023;0.00;0.00;44330.00;0.00;8.00;372;
99;1014;1016;1019;846;1023;0.00;0.00;44330.00;0.00;11.11;352;
100;1017;1020;1021;843;1023;0.00;0.00;44330.00;0.00;9.33;579;
