timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1017;1017;1017;358;324;0.00;0.00;44330.00;0.00;2.89;261;
1;1021;1021;1021;843;1023;0.00;0.00;44330.00;0.00;4.67;261;
2;1018;1023;1018;845;1023;0.00;0.00;44330.00;0.00;3.11;262;
3;1023;1018;1021;848;1023;0.00;0.00;44330.00;0.00;6.44;260;
4;1021;1022;1022;849;1023;0.00;0.00;44330.00;0.00;6.22;145;
5;1018;1019;1022;848;1023;0.00;0.00;44330.00;0.00;2.89;144;
6;1022;1023;1023;847;1023;0.00;0.00;44330.00;0.00;4.89;12;
7;1020;1022;1023;849;1023;0.00;0.00;44330.00;0.00;1.78;13;
8;1018;1023;1021;845;1023;0.00;0.00;44330.00;0.00;3.33;261;
9;1019;1019;1018;847;1023;0.00;0.00;44330.00;0.00;1.33;262;
10;1021;1022;1019;848;1023;0.00;0.00;44330.00;0.00;7.78;12;
11;1021;1021;1023;848;1023;0.00;0.00;44330.00;0.00;8.00;12;
12;1023;1020;1023;846;1013;0.00;0.00;44330.00;0.00;6.44;11;
13;1023;1022;1022;849;1023;0.00;0.00;44330.00;0.00;1.78;11;
14;1019;1019;1022;844;1023;0.00;0.00;44330.00;0.00;3.33;375;
15;1018;1023;1019;849;1023;0.00;0.00;44330.00;0.00;3.33;546;
16;1021;1021;1017;847;1023;0.00;0.00;44330.00;0.00;3.56;145;
17;1022;1023;1022;849;1023;0.00;0.00;44330.00;0.00;4.89;75;
18;1020;1020;1019;847;1023;0.00;0.00;44330.00;0.00;4.89;144;
19;1021;1016;1018;847;1023;0.00;0.00;44330.00;0.00;3.11;375;
20;1021;1018;1020;847;1023;0.00;0.00;44330.00;0.00;3.11;375;
21;1018;1016;1019;845;1023;0.00;0.00;44330.00;0.00;3.33;375;
22;1016;1021;1020;843;1023;0.00;0.00;44330.00;0.00;3.11;375;
23;1018;1018;1018;841;1023;0.00;0.00;44330.00;0.00;1.78;374;
24;1019;1016;1019;845;1023;0.00;0.00;44330.00;0.00;1.78;373;
25;1020;1018;1017;844;1023;0.00;0.00;44330.00;0.00;1.56;374;
26;1020;1014;1016;843;1023;0.00;0.00;44330.00;0.00;0.00;373;
27;1018;1018;1020;846;1023;0.00;0.00;44330.00;0.00;0.22;375;
28;1018;1020;1019;847;1023;0.00;0.00;44330.00;0.00;1.56;375;
29;1018;1018;1020;846;1023;0.00;0.00;44330.00;0.00;0.00;374;
30;1020;1018;1018;847;1023;0.00;0.00;44330.00;0.00;3.11;375;
31;1015;1019;1015;844;1023;0.00;0.00;44330.00;0.00;3.11;375;
32;1021;1020;1016;842;1023;0.00;0.00;44330.00;0.00;3.11;374;
33;1020;1020;1020;847;1023;0.00;0.00;44330.00;0.00;4.67;354;
34;1022;1023;1023;846;1023;0.00;0.00;44330.00;0.00;6.00;374;
35;1021;1020;1022;844;1023;0.00;0.00;44330.00;0.00;7.78;583;
36;1021;1019;1019;847;1023;0.00;0.00;44330.00;0.00;9.33;583;
37;1018;1021;1018;845;1023;0.00;0.00;44330.00;0.00;11.78;583;
38;1021;1019;1021;845;1023;0.00;0.00;44330.00;0.00;8.22;584;
39;1018;1021;1018;847;1023;0.00;0.00;44330.00;0.00;5.56;583;
40;1021;1023;1019;843;1023;0.00;0.00;44330.00;0.00;4.89;582;
41;1019;1021;1021;844;1023;0.00;0.00;44330.00;0.00;4.22;584;
42;1018;1023;1021;844;1023;0.00;0.00;44330.00;0.00;6.89;584;
43;1017;1021;1021;845;1023;0.00;0.00;44330.00;0.00;4.44;584;
44;1019;1021;1018;843;1023;0.00;0.00;44330.00;0.00;2.89;583;
45;1023;1018;1023;844;1023;0.00;0.00;44330.00;0.00;3.11;583;
46;1021;1021;1017;847;1023;0.00;0.00;44330.00;0.00;4.89;582;
47;1022;1020;1020;845;1023;0.00;0.00;44330.00;0.00;6.22;374;
48;1018;1017;1017;847;1023;0.00;0.00;44330.00;0.00;4.67;374;
49;1018;1020;1016;845;1023;0.00;0.00;44330.00;0.00;3.33;375;
50;1018;1018;1018;841;1023;0.00;0.00;44330.00;0.00;1.56;374;
51;1018;1021;1021;842;1023;0.00;0.00;44330.00;0.00;1.56;374;
52;1020;1019;1019;844;1023;0.00;0.00;44330.00;0.00;3.11;375;
53;1018;1020;1018;845;1023;0.00;0.00;44330.00;0.00;1.56;144;
54;1021;1018;1016;842;1023;0.00;0.00;44330.00;0.00;5.56;144;
55;1023;1022;1023;849;1023;0.00;0.00;44330.00;0.00;3.33;5;
56;1023;1019;1023;844;1023;0.00;0.00;44330.00;0.00;1.78;262;
57;1018;1018;1022;845;1023;0.00;0.00;44330.00;0.00;4.89;261;
58;1023;1018;1021;845;1023;0.00;0.00;44330.00;0.00;9.56;545;
59;1018;1018;1021;844;1023;0.00;0.00;44330.00;0.00;14.22;374;
60;1020;1018;1018;845;1023;0.00;0.00;44330.00;0.00;9.56;374;
61;1023;1023;1020;849;1023;0.00;0.00;44330.00;0.00;3.33;260;
62;1022;1021;1019;848;1023;0.00;0.00;44330.00;0.00;3.33;-8;
63;1018;1021;1022;844;1023;0.00;0.00;44330.00;0.00;4.89;374;
64;1014;1019;1016;844;1023;0.00;0.00;44330.00;0.00;4.89;584;
65;1019;1016;1018;847;1023;0.00;0.00;44330.00;0.00;3.11;353;
66;1018;1018;1021;845;1023;0.00;0.00;44330.00;0.00;1.78;354;
67;1021;1021;1021;846;1023;0.00;0.00;44330.00;0.00;1.78;353;
68;1018;1021;1016;845;1023;0.00;0.00;44330.00;0.00;1.78;354;
69;1020;1021;1021;847;1023;0.00;0.00;44330.00;0.00;8.00;374;
70;1016;1020;1014;844;1023;0.00;0.00;44330.00;0.00;8.00;582;
71;1018;1023;1016;846;1023;0.00;0.00;44330.00;0.00;9.56;583;
72;1019;1018;1023;846;1023;0.00;0.00;44330.00;0.00;15.78;580;
73;1018;1021;1016;844;1023;0.00;0.00;44330.00;0.00;14.00;353;
74;1016;1014;1015;846;1023;0.00;0.00;44330.00;0.00;14.00;373;
75;1020;1020;1019;844;1023;0.00;0.00;44330.00;0.00;12.67;582;
76;1022;1021;1021;843;1023;0.00;0.00;44330.00;0.00;12.89;373;
77;1021;1019;1021;849;1023;0.00;0.00;44330.00;0.00;11.33;581;
78;1021;1019;1020;849;1023;0.00;0.00;44330.00;0.00;8.00;583;
79;1021;1016;1020;844;1023;0.00;0.00;44330.00;0.00;6.44;476;
80;1023;1018;1018;847;1023;0.00;0.00;44330.00;0.00;9.56;223;
81;1021;1019;1021;845;1023;0.00;0.00;44330.00;0.00;4.89;260;
82;1021;1023;1023;848;1023;0.00;0.00;44330.00;0.00;4.89;261;
83;1021;1016;1020;847;1023;0.00;0.00;44330.00;0.00;3.33;261;
84;1023;1018;1022;849;1023;0.00;0.00;44330.00;0.00;6.44;374;
85;1018;1021;1018;847;1023;0.00;0.00;44330.00;0.00;10.89;543;
86;1019;1023;1018;848;1023;0.00;0.00;44330.00;0.00;6.44;259;
87;1023;1019;1018;848;1023;0.00;0.00;44330.00;0.00;3.33;258;
88;1019;1023;1018;844;1023;0.00;0.00;44330.00;0.00;6.44;258;
89;1019;1014;1015;844;1023;0.00;0.00;44330.00;0.00;6.44;582;
90;1023;1023;1021;846;1023;0.00;0.00;44330.00;0.00;4.67;579;
91;1021;1017;1021;847;1023;0.00;0.00;44330.00;0.00;4.89;583;
92;1016;1021;1021;847;1023;0.00;0.00;44330.00;0.00;3.33;582;
93;1021;1019;1018;843;1023;0.00;0.00;44330.00;0.00;4.89;581;
94;1019;1020;1021;844;1023;0.00;0.00;44330.00;0.00;1.78;504;
95;1014;1019;1015;844;1023;0.00;0.00;44330.00;0.00;1.78;477;
96;1022;1017;1022;845;1023;0.00;0.00;44330.00;0.00;1.78;260;
97;1018;1022;1018;846;1023;0.00;0.00;44330.00;0.00;1.78;259;
98;1018;1018;1022;845;1023;0.00;0.00;44330.00;0.00;2.00;260;
99;1022;1020;1021;844;1023;0.00;0.00;44330.00;0.00;2.67;260;
100;1018;1018;1022;844;1023;0.00;0.00;44330.00;0.00;1.78;259;
