timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1010;1012;1010;839;1023;29.78;1021.26;-66.51;19.65;2.44;172;
1;1023;1023;1023;849;1023;29.90;1021.31;-66.89;18.86;1.33;171;
2;1022;1023;1023;849;1023;29.95;1021.27;-66.59;18.52;2.67;172;
3;1022;1021;1021;848;1023;29.98;1021.26;-66.45;18.77;2.89;630;
4;1023;1023;1023;849;1023;30.01;1021.25;-66.36;18.81;4.00;629;
5;1023;1022;1022;849;1023;30.02;1021.23;-66.23;18.53;4.22;630;
6;1022;1023;1019;849;1023;30.07;1021.26;-66.45;18.66;2.89;629;
7;1019;1022;1021;844;1023;30.10;1021.24;-66.33;18.36;2.89;306;
8;1021;1018;1018;847;1023;30.12;1021.26;-66.46;18.08;4.22;552;
9;1018;1020;1020;843;1023;30.14;1021.26;-66.45;17.46;2.89;629;
10;1023;1023;1021;845;1023;30.18;1021.24;-66.27;17.88;2.89;411;
11;1023;1021;1023;848;1023;30.20;1021.25;-66.36;18.48;4.22;91;
12;1023;1022;1020;849;1023;30.22;1021.24;-66.28;18.49;1.56;91;
13;1023;1023;1023;849;1023;30.24;1021.22;-66.15;17.55;1.56;92;
14;1023;1020;1023;849;1023;30.26;1021.24;-66.35;18.17;2.89;304;
15;1021;1018;1021;847;1023;30.28;1021.26;-66.52;18.09;1.56;552;
16;1018;1018;1021;844;1023;30.29;1021.24;-66.31;17.54;0.00;628;
17;1023;1023;1019;849;1023;30.33;1021.27;-66.53;17.86;0.00;552;
18;1018;1022;1021;847;1023;30.36;1021.32;-66.93;17.25;1.56;552;
19;1018;1018;1019;848;1023;30.37;1021.22;-66.11;17.71;2.89;552;
20;1021;1018;1022;847;1023;30.39;1021.27;-66.59;17.69;2.89;628;
21;1023;1019;1023;845;1023;30.41;1021.25;-66.41;18.15;1.56;628;
22;1018;1020;1021;847;1023;30.42;1021.23;-66.20;18.26;4.22;20;
23;1022;1023;1023;849;1023;30.43;1021.26;-66.44;18.49;2.89;20;
24;1023;1023;1023;849;1023;30.42;1021.25;-66.36;18.43;5.56;305;
25;1021;1018;1022;847;1023;30.42;1021.24;-66.29;18.44;5.56;552;
