timestamp;nh3;co;no2;dust;uv;temp;press;hum;alt;ws;wd;
0;1018;1015;1019;843;1023;19.97;1021.43;-67.90;26.11;0.00;21;
1;1021;1022;1020;847;1023;20.10;1021.44;-67.96;25.99;0.22;22;
2;1019;1023;1023;849;1023;20.14;1021.45;-68.02;25.77;0.00;21;
3;1022;1022;1023;849;1023;20.18;1021.46;-68.09;25.61;0.00;20;
4;1023;1019;1021;849;1023;20.23;1021.44;-67.98;25.35;0.00;22;
5;1023;1020;1023;849;1023;20.27;1021.44;-67.92;25.53;1.56;20;
6;1023;1020;1023;849;1023;20.33;1021.45;-68.05;25.44;2.67;13;
7;1019;1021;1021;847;1023;20.40;1021.43;-67.89;25.36;3.11;307;
8;1022;1018;1019;847;1023;20.48;1021.43;-67.88;25.46;1.56;306;
9;1018;1021;1018;844;1023;20.56;1021.40;-67.65;25.47;0.22;306;
10;1021;1018;1021;847;1023;20.67;1021.40;-67.67;25.52;1.33;307;
11;1021;1021;1021;846;1023;20.76;1021.42;-67.77;25.61;1.11;307;
12;1018;1021;1021;847;1023;20.86;1021.42;-67.77;25.54;0.00;305;
13;1023;1020;1023;849;1023;20.99;1021.41;-67.70;25.29;1.33;20;
14;1023;1022;1023;849;1023;21.10;1021.40;-67.62;25.28;2.89;21;
15;1023;1022;1023;849;1023;21.22;1021.34;-67.11;25.39;1.56;21;
16;1023;1023;1023;849;1023;21.35;1021.41;-67.68;25.38;0.22;20;
17;1021;1023;1023;849;1023;21.50;1021.41;-67.76;24.88;1.33;21;
18;1023;1019;1023;848;1023;21.62;1021.42;-67.82;25.00;0.00;21;
19;1023;1023;1021;849;1023;21.76;1021.40;-67.66;24.77;0.00;21;
20;1023;1022;1023;849;1023;21.87;1021.42;-67.80;25.04;0.00;21;
21;1022;1023;1023;848;1023;22.00;1021.41;-67.71;25.01;0.22;-1;
22;1020;1023;1020;847;1023;22.14;1021.37;-67.39;24.79;0.00;-1;
23;1023;1023;1023;848;1023;22.28;1021.40;-67.61;24.78;0.00;20;
24;1022;1018;1022;847;1023;22.40;1021.41;-67.68;24.66;1.11;629;
25;1020;1023;1023;848;1023;22.55;1021.37;-67.39;24.12;1.11;554;
26;1023;1022;1023;848;1023;22.68;1021.42;-67.77;24.25;1.33;21;
27;1023;1020;1023;849;1023;22.82;1021.36;-67.33;23.33;0.22;20;
28;1022;1023;1023;848;1023;22.94;1021.40;-67.65;23.96;1.33;20;
29;1023;1023;1023;849;1023;23.06;1021.39;-67.32;24.23;0.22;21;
30;1023;1023;1023;846;1023;23.19;1021.34;-67.18;24.11;0.00;20;
31;1022;1023;1023;849;1023;23.31;1021.35;-67.24;24.21;0.00;20;
32;1020;1023;1023;849;1023;23.43;1021.33;-67.07;24.16;0.00;21;
33;1023;1022;1023;849;1023;23.57;1021.40;-67.65;23.76;1.33;21;
34;1023;1022;1023;849;1023;23.68;1021.39;-67.57;23.91;0.00;20;
35;1023;1023;1023;849;1023;23.80;1021.39;-67.55;23.76;0.00;22;
36;1023;1023;1023;848;1023;23.94;1021.42;-67.77;22.86;0.00;20;
37;1022;1023;1023;849;1023;24.06;1021.39;-67.52;23.36;0.00;21;
38;1023;1020;1023;846;1023;24.17;1021.37;-67.42;23.48;0.00;21;
39;1023;1022;1023;849;1023;24.30;1021.39;-67.56;22.96;0.00;21;
40;1023;1023;1023;849;1023;24.42;1021.41;-67.69;23.27;1.11;22;
41;1023;1023;1023;849;1023;24.53;1021.40;-67.67;23.32;0.00;20;
42;1023;1020;1023;846;1023;24.64;1021.34;-67.17;23.59;0.22;22;
